,Sentence,PreprocessedSentence,Sentiment,PeopleInitially,People,OrganizationsInitially,Organizations,PricesInitially,Prices
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",geosolution technology leverage benefon gps solution by provide location base search technology community platform location relevant multimedia content new powerful commercial model,positive,['Benefon'],[],"['GeoSolutions', 'Location Based Search Technology']","['GeoSolutions', 'Location Based Search Technology']",[],[]
1,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",esi low down to bk real possibility,negative,[],[],"['ESI', 'BK']","['BK', 'ESI']","['1.50', '2.50']","['1.50', '2.50']"
2,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",for last quarter of componenta net sale double to eurm from eurm for same period year early while it move to zero pretax profit from pretax loss of eurm,positive,['EUR131'],[],"['Componenta', 'EUR76', 'EUR7']",['Componenta'],[],"['EUR131m', 'EUR7m', 'EUR76m']"
3,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",accord to finnishrussian chamber of commerce all major construction company of finland be operate russia,neutral,[],[],[],[],[],[]
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",swedish buyout firm have sell its remain percent stake almost eighteen month after take company public finland,neutral,[],[],[],[],[],[]
5,$SPY wouldn't be surprised to see a green close,spy would not be surprised to see green close,positive,[],[],['spy'],['spy'],[],[]
6,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,she billion bg deal meet shareholder skepticism,negative,[],[],['Shell'],['Shell'],['$70 billion'],['$70 billion']
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",ssh communications security corp stock exchange release october at pm company update its full year outlook estimate its result to remain at loss for full year,negative,[],[],"['SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE', 'Company']","['Company', 'SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE']",[],[]
8,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,kone net sale rise by some yearonyear first nine month of,positive,[],[],['Kone'],['Kone'],[],[]
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",stockmann department store have total floor space of over square metre stockmann investment project have price tag of about eur million,neutral,[],[],['Stockmann'],['Stockmann'],[],['EUR 12 million']
10,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue have increase by finland sweden,positive,[],[],[],[],[],[]
11,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,sap q disappoint as software license down real problem ? cloud growth trail msft orcl goog crm adbe,negative,[],[],[],[],['$MSFT'],[]
12,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",subdivision make sale revenue last year of eur million eur million operate profit of eur million eur million,positive,[],[],"['EUR', 'EUR', 'EUR', 'EUR']",[],[],"['EUR 44.5 million', 'EUR 7.4 million', 'EUR 480.7 million', 'EUR 414.9 million']"
13,Viking Line has canceled some services .,vike line have cancel some service,neutral,[],[],[],[],[],[]
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",ahlstrom corporation stock exchange announcement at total of new share of ahlstrom corporation have be subscribe with option right under company stock option program i ii,neutral,['ANNOUNCEMENT'],[],"['Ahlstrom Corporation STOCK EXCHANGE', 'Ahlstrom Corporation']","['Ahlstrom Corporation STOCK EXCHANGE', 'Ahlstrom Corporation']",[],[]
15,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,msft sql server revenue grow doubledigit with sql server premium revenue grow over,positive,['MSFT'],[],['SQL Server Premium'],['SQL Server Premium'],[],[]
16,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",accord to lnnen tehtaat ceo matti karppinen company aim to deliver fish product to its customer day early than it currently do,neutral,"[""L+ñnnen Tehtaat 's"", 'Matti Karppinen']","[""l+ñnnen Tehtaat 's"", 'Matti Karppinen']",[],[],[],[]
17,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,company share be quote nasdaq omx helsinki rautaruukki oyj rtrk,neutral,[],[],['NASDAQ'],['NASDAQ'],[],[]
18,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,elcoteq se be list nasdaq omx helsinki ltd,neutral,['Elcoteq SE'],['Elcoteq SE'],['the Nasdaq OMX Helsinki Ltd.'],['the Nasdaq OMX Helsinki Ltd.'],[],[]
