,Sentence,PreprocessedSentence,Sentiment
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",geosolution technology leverage benefon gps solution by provide location base search technology community platform location relevant multimedia content new powerful commercial model,positive
1,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",esi low down to bk real possibility,negative
2,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",for last quarter of componenta net sale double to eurm from eurm for same period year early while it move to zero pretax profit from pretax loss of eurm,positive
3,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",accord to finnishrussian chamber of commerce all major construction company of finland be operate russia,neutral
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",swedish buyout firm have sell its remain percent stake almost eighteen month after take company public finland,neutral
5,$SPY wouldn't be surprised to see a green close,spy would not be surprised to see green close,positive
6,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,she billion bg deal meet shareholder skepticism,negative
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",ssh communications security corp stock exchange release october at pm company update its full year outlook estimate its result to remain at loss for full year,negative
8,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,kone net sale rise by some yearonyear first nine month of,positive
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",stockmann department store have total floor space of over square metre stockmann investment project have price tag of about eur million,neutral
10,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue have increase by finland sweden,positive
11,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,sap q disappoint as software license down real problem ? cloud growth trail msft orcl goog crm adbe,negative
12,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",subdivision make sale revenue last year of eur million eur million operate profit of eur million eur million,positive
13,Viking Line has canceled some services .,vike line have cancel some service,neutral
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",ahlstrom corporation stock exchange announcement at total of new share of ahlstrom corporation have be subscribe with option right under company stock option program i ii,neutral
16,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,msft sql server revenue grow doubledigit with sql server premium revenue grow over,positive
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",accord to lnnen tehtaat ceo matti karppinen company aim to deliver fish product to its customer day early than it currently do,neutral
18,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,company share be quote nasdaq omx helsinki rautaruukki oyj rtrk,neutral
19,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,elcoteq se be list nasdaq omx helsinki ltd,neutral
20,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,two of these contract be for turntable anode vibrocompactor that be deliver to gansu hualu aluminum co ltd another unnamed costumer,neutral
21,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",aviva friend life top forecast ahead of billion pound merger,positive
22,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",stead of be base soft drink as be usual teho energy drink be make with fresh water,neutral
23,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,company plan to increase unit specialist staff to several dozen depend market situation during,neutral
24,The company closed last year with a turnover of about four million euros .,company close last year with turnover of about four million euro,neutral
25,Shire CEO steps up drive to get Baxalta board talking,shire ceo step up drive to get baxalta board talk,positive
27,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",fivestorey ecoefficient building have gross floor area of about sq m it also include apartment,neutral
28,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",first installment of cinema series conclude with profile of finnish inventor olavi linden whose personal artistic journey work at fiskar have lead to dozen of design award,neutral
29,All are welcome .,all be welcome,neutral
30,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",stockmann swedish sector company ab lindex enter into agreement september whereby stockmann whollyowned subsidiary of it make public tender offer for all of lindex issue share,positive
31,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",huhtamaki oyj stock exchange release at huhtamaki capital markets day for institutional investor analyst be hold espoo september start at pm finnish time,neutral
32,`` We are pleased to welcome Tapeks Noma into Cramo group .,we be pleased to welcome tapek noma into cramo group,positive
33,- Profit before taxes was EUR 105.9 82.7 million .,profit before taxis be eur million,neutral
34,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,royal dutch she to buy bg group for nearly billion,positive
35,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",financialwire tm be not press release service receive no compensation for its news opinion distribution,neutral
